mae,rmse,mape,r2,company,split,model
0.8572392744661791,1.2817573133323785,0.0162455072215891,0.9786010978210088,Microsoft Corporation,1,Linear Baseline
1.7984310905934486,2.498619653363962,0.015892794380151936,0.9906363215016084,Microsoft Corporation,2,Linear Baseline
5.802990424521179,7.829521761255223,0.024004460632812658,0.973734242801503,Microsoft Corporation,3,Linear Baseline
6.677724040186559,8.69077623895207,0.01966595696435075,0.9850612813941181,Microsoft Corporation,4,Linear Baseline
0.008245742081474897,0.011202571741801769,0.020925759205956462,0.9720497517828385,NVIDIA Corporation,0,Linear Baseline
0.05757205829710234,0.10530071103525912,0.03495813638712728,0.9899103313944803,NVIDIA Corporation,1,Linear Baseline
0.1644170326303825,0.24146214124793028,0.033759691238823664,0.9439334115396548,NVIDIA Corporation,2,Linear Baseline
0.7182878703049427,1.040111151626719,0.04287615237662514,0.9738430972343316,NVIDIA Corporation,3,Linear Baseline
17.574514016588754,66.11144600299133,0.08932518689475541,0.9352930205982222,NVIDIA Corporation,4,Linear Baseline
0.7258017868912943,0.9684856026219403,0.06252218271612597,0.9565988580559239,"Tesla, Inc.",0,Linear Baseline
0.5448116934033143,0.746506302650813,0.03281046616373904,0.9590759872027321,"Tesla, Inc.",1,Linear Baseline
1.251918899197549,2.3012537617263655,0.04876185414228617,0.9321057945325466,"Tesla, Inc.",2,Linear Baseline
11.543326754392933,16.474999632514507,0.05038893558906064,0.9607730711271927,"Tesla, Inc.",3,Linear Baseline
11.504260901236437,16.435141563952115,0.04989657238985662,0.9406802350864669,"Tesla, Inc.",4,Linear Baseline
0.3482551455636019,0.4474691745245177,0.0233306301324562,-0.1760446747818176,Alphabet Inc.,0,ARIMA
0.573356330309954,0.7177168117775963,0.0221746722092073,-1.2367137872097689,Alphabet Inc.,1,ARIMA
0.5798022557432176,0.6788736993860988,0.0126247653332684,-3.4123878612353025,Alphabet Inc.,2,ARIMA
3.9883123669976457,5.458886700993757,0.0582281756325141,-1.0333193578198112,Alphabet Inc.,3,ARIMA
5.404382552392937,5.589735836284677,0.0491908960092183,-3.5761466374516955,Alphabet Inc.,4,ARIMA
0.2536559626757103,0.2823204741920752,0.0223443343528807,-2.3714669492846423,"Amazon.com, Inc.",0,ARIMA
0.391422900481864,0.4340974622162316,0.0261588199165043,0.0791109436953083,"Amazon.com, Inc.",1,ARIMA
2.1508984221162555,2.3821521998584845,0.0432642180867378,-3.0049071815359367,"Amazon.com, Inc.",2,ARIMA
3.0276177294478983,3.241877190676774,0.0284266334789862,-1.07142039300903,"Amazon.com, Inc.",3,ARIMA
4.8050443223072605,5.618437570749255,0.0374199683284985,-1.6570394887541973,"Amazon.com, Inc.",4,ARIMA
0.4483816604163568,0.4914890236506673,0.0212440412633464,0.3022810604677839,Apple Inc.,0,ARIMA
0.7063476818906281,0.8818416775308154,0.0261242206663959,-1.660388102257445,Apple Inc.,1,ARIMA
0.7119960191300088,0.7923918562365652,0.018524077377808,0.1131870475717937,Apple Inc.,2,ARIMA
1.3789784711860549,1.697307960915836,0.0173067626102885,-2.170847327359258,Apple Inc.,3,ARIMA
9.868456373262749,11.219608476340715,0.0616829506371964,-4.284355906170597,Apple Inc.,4,ARIMA
