horizon,company,model,calibration,margin,score,acc_test,f1_macro_test,operable_share,operable_accuracy,operable_f1,dir_acc,dir_f1,dir_acc_operable,high_vol_dir_acc_operable,low_vol_dir_acc_operable,high_vol_dir_f1,low_vol_dir_f1,high_vol_coverage,low_vol_coverage
3,Apple Inc.,ensemble,isotonic,0.06,0.3699403545528112,0.5241379310344828,0.30140261051995904,0.1986206896551724,0.19444444444444445,0.13622555940615239,0.09556313993174062,0.1359546165884194,0.4375,0.3333333333333333,0.4482758620689655,0.028985507246376812,0.18571428571428572,0.05234159779614325,0.3453038674033149
3,Apple Inc.,ensemble,isotonic,0.08,0.3692145984870079,0.5324137931034483,0.301657185872692,0.17793103448275863,0.20155038759689922,0.1429790866410585,0.08873720136518772,0.13039374325782094,0.45614035087719296,0.5,0.4528301886792453,0.028985507246376812,0.17777777777777778,0.04132231404958678,0.3149171270718232
3,Apple Inc.,ensemble,isotonic,0.1,0.37052512490449385,0.5379310344827586,0.30424384674399313,0.16827586206896553,0.21311475409836064,0.15103884372177057,0.08873720136518772,0.13211548987411056,0.48148148148148145,0.5,0.48,0.028985507246376812,0.18181818181818182,0.03856749311294766,0.2983425414364641
3,Apple Inc.,ensemble,isotonic,0.12,0.3692119394563448,0.5379310344827586,0.30234019346844804,0.16551724137931034,0.20833333333333334,0.1486819413648682,0.08532423208191127,0.12775027502750275,0.4716981132075472,0.5,0.46938775510204084,0.028985507246376812,0.17557251908396945,0.03856749311294766,0.292817679558011
3,Apple Inc.,ensemble,isotonic,0.14,0.3696772146093297,0.5393103448275862,0.3028137261784965,0.16413793103448276,0.21008403361344538,0.1494949494949495,0.08532423208191127,0.12775027502750275,0.4716981132075472,0.5,0.46938775510204084,0.028985507246376812,0.17557251908396945,0.03856749311294766,0.2900552486187845
3,Apple Inc.,ensemble,isotonic,0.16,0.36940193506171193,0.5393103448275862,0.302815182481866,0.16275862068965516,0.211864406779661,0.15123638024401384,0.08532423208191127,0.12831674958540631,0.4807692307692308,0.5,0.4791666666666667,0.028985507246376812,0.17692307692307693,0.03856749311294766,0.287292817679558
3,Apple Inc.,ensemble,isotonic,0.18,0.362507725132386,0.5544827586206896,0.2924762093826891,0.11862068965517242,0.19767441860465115,0.1491057961646197,0.05802047781569966,0.09367612293144209,0.4358974358974359,0.5,0.42857142857142855,0.028985507246376812,0.1282051282051282,0.030303030303030304,0.20718232044198895
3,Apple Inc.,ensemble,isotonic,0.2,0.35434531269070413,0.5613793103448276,0.27965638517503616,0.0896551724137931,0.16923076923076924,0.13819444444444443,0.03754266211604096,0.06445068664169787,0.3793103448275862,0.5,0.36,0.028985507246376812,0.08411214953271028,0.030303030303030304,0.14917127071823205
3,Apple Inc.,stacked,meta,0.0,0.3586360485311318,0.5917241379310345,0.281417707534726,0.04689655172413793,0.2647058823529412,0.13953488372093023,0.030716723549488054,0.05142857142857143,0.4090909090909091,0.0,0.42857142857142855,0.0,0.08653846153846154,0.005509641873278237,0.08839779005524862
3,Apple Inc.,stacked,meta,0.02,0.3520714104873303,0.593103448275862,0.2719026641493602,0.030344827586206897,0.2727272727272727,0.14285714285714285,0.020477815699658702,0.03592814371257485,0.42857142857142855,,0.42857142857142855,0.0,0.061855670103092786,0.0,0.06077348066298342
3,Apple Inc.,stacked,meta,0.04,0.34660962910203735,0.5903448275862069,0.26376545206543817,0.02482758620689655,0.2222222222222222,0.12121212121212122,0.013651877133105802,0.024539877300613498,0.4,,0.4,0.0,0.043010752688172046,0.0,0.049723756906077346
3,Apple Inc.,stacked,meta,0.06,0.34394469154429547,0.5903448275862069,0.2598617288607387,0.019310344827586208,0.21428571428571427,0.11764705882352942,0.010238907849829351,0.01875,0.42857142857142855,,0.42857142857142855,0.0,0.03333333333333333,0.0,0.03867403314917127
3,Apple Inc.,stacked,meta,0.08,0.34120951182455106,0.5903448275862069,0.25578240025103277,0.013793103448275862,0.2,0.1111111111111111,0.006825938566552901,0.012738853503184714,0.5,,0.5,0.0,0.022988505747126436,0.0,0.027624309392265192
3,Apple Inc.,stacked,meta,0.1,0.33953373313343327,0.5917241379310345,0.25228260869565217,0.009655172413793104,0.14285714285714285,0.08333333333333333,0.0034129692832764505,0.00641025641025641,0.3333333333333333,,0.3333333333333333,0.0,0.011627906976744186,0.0,0.019337016574585635
3,Apple Inc.,stacked,meta,0.12,0.3408287786766595,0.5958620689655172,0.2534512570364764,0.005517241379310344,0.25,0.13333333333333333,0.0034129692832764505,0.00641025641025641,0.3333333333333333,,0.3333333333333333,0.0,0.011627906976744186,0.0,0.011049723756906077
3,Apple Inc.,stacked,meta,0.14,0.34047742497679745,0.5958620689655172,0.25326252795923504,0.004137931034482759,0.3333333333333333,0.16666666666666666,0.0034129692832764505,0.0064516129032258064,0.5,,0.5,0.0,0.011764705882352941,0.0,0.008287292817679558
3,Apple Inc.,stacked,meta,0.16,0.34090896570985557,0.5972413793103448,0.25365172461946656,0.002758620689655172,0.5,0.3333333333333333,0.0034129692832764505,0.0064516129032258064,0.5,,0.5,0.0,0.011764705882352941,0.0,0.0055248618784530384
3,Apple Inc.,stacked,meta,0.18,0.33827466889392677,0.5958620689655172,0.24913494809688583,0.001379310344827586,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0027624309392265192
3,Apple Inc.,stacked,meta,0.2,0.33827466889392677,0.5958620689655172,0.24913494809688583,0.001379310344827586,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0027624309392265192
3,"Meta Platforms, Inc.",tcn,raw,0.0,0.3992104477045384,0.3637873754152824,0.32277694982613014,0.6229235880398671,0.192,0.18859221422490516,0.3287671232876712,0.402059925093633,0.5179856115107914,0.627906976744186,0.46875,0.35810113519091846,0.41487603305785126,0.4053156146179402,0.840531561461794
3,"Meta Platforms, Inc.",tcn,raw,0.02,0.39911074367115207,0.36710963455149503,0.32418881931077054,0.6129568106312292,0.19241192411924118,0.1898598666109987,0.3242009132420091,0.39992382403351745,0.5220588235294118,0.6585365853658537,0.4631578947368421,0.3630952380952381,0.4063653947599789,0.38870431893687707,0.8372093023255814
